salary,educationType,jobTitle,qualification,gender,dateModify,skills,otherInfo
15000,Среднее профессиональное,продавец,продавец,Женский,2021-11-01,,
15000,,,,Женский,2021-04-01,,
60000,Высшее,,,Мужской,2021-07-02,,
50000,Среднее профессиональное,,,Мужской,2021-04-01,"ответствен, коммуникабельн",
35000,Среднее профессиональное,,,Мужской,2021-04-01,,
27000,Высшее,,,Женский,2021-09-21,"Office, уверен, Excel",
20000,Среднее профессиональное,,,Мужской,2021-11-29,,
50000,Незаконченное высшее,менеджер,,Мужской,2021-09-06,"ответствен, целеустремлен, внимательн",
30000,Высшее,,,Мужской,2021-04-01,,
20000,Среднее профессиональное,контролер,продавец,Мужской,2021-04-01,"пунктуальн, коммуникабельн",
40000,Высшее,,юрист,Женский,2021-09-01,Word,
30000,Среднее профессиональное,продавец,,Женский,2021-04-01,,
20000,Среднее профессиональное,,повар,Женский,2021-04-01,,
45000,Высшее,инженер,менеджер,Женский,2021-07-12,"организаторск, способн",
23611,,,,Мужской,2021-04-26,,
15000,Среднее профессиональное,менеджер,юрист,Женский,2021-09-06,"Microsoft, Word, Internet, Adobe, Outlook, Excel, оргтехник, Photoshop",
15000,Среднее профессиональное,монтажник,монтажник,Женский,2021-05-12,исполнительн,
60000,,,,Мужской,2021-04-01,,
26000,Высшее,бухгалтер,,Женский,2021-07-05,,
95000,Среднее,,,Мужской,2021-04-01,,
20000,Среднее,менеджер,,Мужской,2021-04-10,,
20000,Высшее,менеджер,,Мужской,2021-10-17,"Photoshop, английск",
40000,Среднее,плотник,,Мужской,2021-04-01,,
15000,Среднее профессиональное,пекар,,Женский,2021-07-27,,
21000,,,,Мужской,2021-05-12,,
15000,Среднее профессиональное,,,Женский,2021-10-29,,педагогический
99900,Высшее,,менеджер,Мужской,2021-04-01,,творческий
15000,,,,Женский,2021-04-01,,
10000,,,,Мужской,2021-04-01,,
25000,Высшее,психолог,психолог,Женский,2021-06-22,"ответствен, грамотн, уверен, поставлен, коммуникабельн",
60000,,продавец,,Мужской,2021-04-01,ответствен,
25000,Среднее,машинист,,Мужской,2021-04-01,,
20000,,,,Мужской,2021-04-01,,
30000,,,,Мужской,2021-04-01,,
50000,Среднее профессиональное,секретар,,Женский,2021-04-01,,
30000,Высшее,механик,,Мужской,2021-04-01,,
25000,,,,Женский,2021-11-23,,
25000,Высшее,менеджер,юрист,Женский,2021-08-03,,
35000,Среднее профессиональное,,,Женский,2021-09-03,,
35000,Высшее,,,Женский,2021-07-05,,
15000,Высшее,ремонтник,,Мужской,2021-04-01,,
10000,Среднее,,,Женский,2021-04-01,,
35000,Среднее,кладовщик,,Мужской,2021-10-09,,
50000,Среднее профессиональное,,техник,Мужской,2021-04-01,,
20000,Среднее профессиональное,,менеджер,Женский,2021-05-21,,
30000,Незаконченное высшее,,,Женский,2021-04-01,,
20000,Незаконченное высшее,,,Женский,2021-10-05,опытн,
12,,,,Женский,2021-09-15,,
30000,Среднее профессиональное,оператор,техник,Мужской,2021-04-01,,
120000,Высшее,,инженер,Мужской,2021-04-01,"Windows, Internet",
30000,Высшее,техник,финансист,Мужской,2021-10-27,самостоятельн,
50000,Высшее,,юрист,Женский,2021-06-08,,
15000,,,,,2021-04-01,,
50000,Среднее профессиональное,сторож,,Мужской,2021-09-09,,
35000,Среднее,сторож,,Мужской,2021-04-15,,
45000,Высшее,,,Мужской,2021-04-01,"Microsoft, Office","экономический, современный"
25000,Среднее,,,Мужской,2021-04-02,,
50000,Высшее,,экономик,Женский,2021-04-30,,
70000,Высшее,бухгалтер,экономист,Женский,2021-04-01,,
40000,Высшее,учител,учител,Женский,2021-11-22,,
40000,Высшее,,инженер,Мужской,2021-10-26,,
45000,Высшее,юрист,юрист,Мужской,2021-10-01,,активный
35000,,,,Мужской,2021-10-21,,
100000,Высшее,,,Мужской,2021-04-01,"Microsoft, Office, опытн, оргтехник",
25000,Среднее профессиональное,,дизайнер,Женский,2021-09-24,,
20000,Среднее,администратор,,Женский,2021-04-07,,
40000,Среднее профессиональное,официант,,Женский,2021-08-07,"стрессоустойчив, ответствен, коммуникабельн",
20000,Среднее профессиональное,,юрист,Женский,2021-06-11,,
30000,Среднее профессиональное,водител,,Мужской,2021-09-16,,
50000,Высшее,инспектор,инженер,Мужской,2021-04-01,"аналитическ, организаторск, самостоятельн, способн, исполнительн, коммуникативн, целеустремлен",
35000,,,,Женский,2021-04-01,,
30000,Среднее профессиональное,,,Женский,2021-05-12,,
15000,Высшее,,,Женский,2021-04-01,,
25000,Среднее,оператор,,Женский,2021-10-08,,
15000,Среднее профессиональное,упаковщик,,,2021-04-01,,
50000,Среднее профессиональное,контролер,,Мужской,2021-04-01,,
60000,Среднее профессиональное,,,Мужской,2021-08-26,,
18000,Высшее,,юрист,Женский,2021-04-01,,
25000,,,,Женский,2021-04-01,,
25000,Среднее,,,Женский,2021-04-03,,
35000,Высшее,менеджер,,Мужской,2021-10-26,,
16000,Среднее,,,Мужской,2021-07-02,,
35000,Высшее,кассир,экономист,Женский,2021-06-01,,
30000,Среднее профессиональное,,техник,Женский,2021-04-06,ответствен,
30000,Высшее,,,Мужской,2021-04-01,,
30000,Среднее профессиональное,кассир,слесар,Женский,2021-04-01,"пунктуальн, стрессоустойчив, целеустремлен",
30000,Высшее,,,Женский,2021-05-31,,
15000,,,,,2021-04-01,,
80000,Высшее,,,Мужской,2021-05-24,,
28000,Высшее,,,Мужской,2021-04-01,,
27000,Среднее профессиональное,,,Женский,2021-08-01,,
15000,,охранник,,,2021-04-01,,
70000,Среднее профессиональное,,,Мужской,2021-07-07,,
20000,,,,Женский,2021-04-01,,
60000,Высшее,,радиоинженер,Мужской,2021-04-01,поставлен,
20000,Среднее профессиональное,,,Женский,2021-09-21,,
45000,Среднее профессиональное,кладовщик,,Мужской,2021-04-01,,
70000,Среднее профессиональное,грузчик,повар,Мужской,2021-04-01,,
60000,,,,Женский,2021-08-24,,
35000,Высшее,,преподавател,Женский,2021-04-01,"ответствен, способн, исполнительн, пунктуальн, аккуратн",уверенный
20000,Среднее профессиональное,,,Женский,2021-06-09,,
10000,,истопник,,Мужской,2021-05-21,,
40000,Высшее,,,Мужской,2021-07-07,,
15000,Среднее профессиональное,,,Мужской,2021-04-01,свободн,
25000,,,,Женский,2021-07-13,,
15000,,,,Женский,2021-04-01,,
30000,Высшее,инспектор,экономист,Мужской,2021-04-01,,
50000,Высшее,техник,инженер,Женский,2021-06-15,"Microsoft, Office, AutoCAD",
70000,Высшее,менеджер,экономист,Женский,2021-06-02,"ответствен, коммуникабельн",
35000,Среднее,администратор,,Женский,2021-04-01,"делов, грамотн, внимательн, коммуникабельн",
20000,Высшее,кассир,,Женский,2021-08-10,опытн,
120000,Высшее,,,Мужской,2021-04-01,,
20000,Среднее,,,Мужской,2021-04-01,,
40000,Среднее профессиональное,,,Женский,2021-04-01,,
30000,Высшее,,экономист,Женский,2021-10-31,,
20000,Среднее,администратор,,Женский,2021-09-05,,
25000,Среднее профессиональное,кассир,,Женский,2021-04-01,,
40000,Высшее,,,Женский,2021-08-11,,
20000,,,,,2021-04-01,,
25000,Высшее,секретар,юрист,Женский,2021-04-15,,
30000,,,,Женский,2021-04-01,,
25000,Среднее профессиональное,вахтер,бухгалтер,Женский,2021-06-07,"Word, уверен, конфликтн, готов",
20000,Среднее профессиональное,вахтер,бухгалтер,Женский,2021-04-01,,
50000,Среднее,директор,,Мужской,2021-07-24,,
50000,Незаконченное высшее,,,Мужской,2021-04-06,,
20000,Высшее,кассир,экономист,Женский,2021-06-23,,
250000,,,,Мужской,2021-04-01,,
17,,,,Женский,2021-04-01,,
15000,Среднее,официант,,Женский,2021-04-01,"Word, Excel",
21000,Высшее,менеджер,,Женский,2021-10-06,,
17000,,преподавател,,Женский,2021-10-14,,
50000,,,,Женский,2021-04-01,,
60000,Среднее,монтажник,монтажник,Мужской,2021-04-01,,
50000,Незаконченное высшее,,,Мужской,2021-05-20,"организаторск, самостоятельн, способн, коммуникативн, целеустремлен",
30000,Незаконченное высшее,,,Мужской,2021-04-06,,
25000,,,,Мужской,2021-04-01,,
20000,Среднее профессиональное,,экономист,Мужской,2021-04-01,,
60000,Высшее,экономист,менеджер,Женский,2021-11-09,"ответствен, пунктуальн, целеустремлен, легкообуча, аккуратн",
35000,Высшее,менеджер,,Женский,2021-09-29,,
35000,Высшее,,экономист,Женский,2021-07-15,,
25000,Высшее,инструктор,,Женский,2021-07-22,,
60000,Высшее,,юрист,Мужской,2021-04-01,,
15000,,,,Женский,2021-08-05,,
20000,Среднее,,,Женский,2021-10-17,,
35000,Высшее,инспектор,экономист,Женский,2021-04-01,налогов,
60000,Высшее,инженер,радиоинженер,Мужской,2021-05-20,"техник, управленческ, техническ, производствен",
25000,Среднее профессиональное,пекар,,Мужской,2021-04-01,,
25000,Высшее,,артист,Мужской,2021-04-01,,
80000,Среднее профессиональное,водител,техник,Мужской,2021-04-01,,
35000,,,,Мужской,2021-04-01,,
20000,Среднее профессиональное,продавец,техник,Женский,2021-07-18,,
35000,Высшее,,,Женский,2021-06-24,"компьютерн, делов, Word, Windows, уверен, оргтехник, Excel",
15000,,продавец,,Женский,2021-04-01,,
15000,,,,Женский,2021-04-01,,
20000,Среднее,водител,,Мужской,2021-04-01,,
15000,,,,Женский,2021-04-01,,
35000,,,,Мужской,2021-04-01,,
15000,Среднее,продавец,,Женский,2021-10-22,,
20000,Среднее профессиональное,,,Женский,2021-08-04,,
30000,,,,Мужской,2021-04-01,,
65000,Среднее профессиональное,электромонтер,,Мужской,2021-04-01,"внимательн, активн, техническ",
35000,Высшее,,врач,Мужской,2021-04-01,,
20000,,,,Женский,2021-04-01,,
25000,Среднее,,,Женский,2021-06-19,,
20000,,оператор,,Мужской,2021-04-01,,
200000,Высшее,менеджер,,Мужской,2021-07-06,,
20000,,,,Женский,2021-07-30,,
20000,Высшее,бухгалтер,,,2021-04-01,"внимательн, ответствен, стрессоустойчив, исполнительн, пунктуальн, коммуникабельн",
25000,,кассир,,Женский,2021-05-24,,
25000,Высшее,упаковщик,экономист,Женский,2021-04-01,,
10000,Среднее профессиональное,,,Мужской,2021-04-01,,
48000,,слесар,,Мужской,2021-04-01,,
20000,Среднее профессиональное,продавец,,Женский,2021-04-02,,
25000,Среднее профессиональное,,техник,Мужской,2021-04-01,,
25000,,,,Женский,2021-11-02,,
30000,Среднее профессиональное,слесар,,Мужской,2021-04-01,,
40000,Высшее,,учител,Женский,2021-04-01,,
50000,Среднее профессиональное,,,,2021-04-01,,
20000,,,,Мужской,2021-04-22,,
30000,,сторож,,Мужской,2021-04-01,,
50000,Высшее,менеджер,менеджер,Женский,2021-04-01,трудолюбив,
30000,,,,Мужской,2021-10-08,,
15000,Среднее,кочегар,,Мужской,2021-04-01,,
40000,Среднее,,,Мужской,2021-04-01,,
15000,Среднее профессиональное,продавец,,Женский,2021-08-01,,
50000,,,,Женский,2021-04-01,,
40000,,,,Мужской,2021-10-27,,
15000,,,,Женский,2021-08-24,,
40000,Среднее профессиональное,,техник,Мужской,2021-07-12,,
40000,,,,Женский,2021-09-09,,
45000,Высшее,контролер,экономист,Мужской,2021-04-01,,
18000,,,,Женский,2021-06-13,,
30,Незаконченное высшее,продавец,,Женский,2021-11-08,,
25000,,,,Мужской,2021-04-01,,
35000,Среднее,,,Женский,2021-04-01,,
15000,,,,Женский,2021-11-30,,
15000,Среднее профессиональное,,,Женский,2021-09-01,ответствен,
35000,,,,,2021-04-01,,
25000,,,,Женский,2021-04-01,,
15000,Среднее,,,Женский,2021-04-07,,
35000,Высшее,слесар,инженер,Мужской,2021-05-23,,
25000,Среднее,администратор,,Женский,2021-04-01,,
30000,Среднее,оператор,,Мужской,2021-04-01,ответствен,
15000,Среднее профессиональное,воспитател,повар,Женский,2021-09-03,,
70000,Высшее,бухгалтер,,Женский,2021-04-01,,
50000,Высшее,,конструктор,Мужской,2021-04-26,"оргтехник, техник",
25000,Среднее,,,Женский,2021-04-01,,
20000,Среднее,продавец,,Женский,2021-08-06,,
18000,Среднее профессиональное,воспитател,маркетолог,Женский,2021-04-01,,
30000,Среднее профессиональное,оператор,оператор,Женский,2021-08-17,,
15000,Высшее,,,Женский,2021-11-25,"организаторск, способн",
25000,,,,Мужской,2021-04-01,,
15000,,,,Мужской,2021-04-01,,
50000,,,,Мужской,2021-04-01,,
65000,Высшее,супервайзер,менеджер,Мужской,2021-07-30,"техник, Adobe, Office, бухгалтерск, уверен, Photoshop",
40000,Высшее,менеджер,,Женский,2021-08-09,,
40000,Среднее,,,Мужской,2021-04-01,,
28000,Высшее,,,Мужской,2021-04-01,,
100000,Высшее,менеджер,менеджер,Мужской,2021-04-01,,
20000,,,,Женский,2021-04-01,,
70000,Высшее,директор,менеджер,Мужской,2021-04-01,"ответствен, аналитическ, способн, оперативн, коммуникабельн",
30000,Высшее,преподавател,учител,Женский,2021-04-01,,
20000,Высшее,администратор,,Женский,2021-10-04,"Photoshop, уверен, Adobe",
100000,Незаконченное высшее,менеджер,,Мужской,2021-10-19,,
12000,Среднее,,,Мужской,2021-04-01,,
20000,Среднее,,,Женский,2021-07-28,,
25000,Высшее,лаборант,,Женский,2021-05-19,"пунктуальн, стрессоустойчив",
60000,Высшее,менеджер,инженер,Женский,2021-04-01,,
15000,Среднее профессиональное,,,Женский,2021-09-13,,
25000,,,,Мужской,2021-08-06,,
30000,Высшее,,экономист,Мужской,2021-06-04,,
25000,,оператор,,Женский,2021-10-07,трудолюбив,
70000,Среднее,,,Мужской,2021-10-26,,
17000,Среднее профессиональное,оператор,,Женский,2021-05-27,,
25000,Высшее,бухгалтер,экономист,Женский,2021-04-01,,
40000,Высшее,,инженер,Мужской,2021-10-29,уверен,
25000,Среднее,официант,,Женский,2021-07-09,,
25000,Среднее,машинист,,Мужской,2021-05-14,внимательн,
25000,Среднее,,,Мужской,2021-11-25,,
15000,Среднее,,машинист,Мужской,2021-07-27,,
50000,Среднее профессиональное,,повар,Мужской,2021-04-01,,
20000,Среднее профессиональное,,,Женский,2021-10-29,,
13000,Среднее профессиональное,,,Женский,2021-08-19,,
35000,Среднее профессиональное,,,Мужской,2021-04-01,,
25000,Среднее профессиональное,кассир,коммерсант,,2021-04-01,,
25000,Высшее,,,Мужской,2021-04-01,,
40000,Среднее профессиональное,,техник,Женский,2021-10-12,"трудолюбив, внимательн, аккуратн",
80000,Высшее,,учител,Женский,2021-09-08,,
15000,Высшее,продавец,,Женский,2021-04-01,оргтехник,
70000,Высшее,инспектор,,Мужской,2021-04-21,"Word, Windows, Internet, Excel",
20000,Высшее,менеджер,,Женский,2021-11-11,,
30000,Среднее,,,Женский,2021-04-20,,
60000,Высшее,администратор,,Женский,2021-04-01,,
45000,Среднее профессиональное,оператор,,Мужской,2021-09-10,дисциплинирова,
20000,Среднее профессиональное,электромонтажник,,Мужской,2021-10-09,,
20000,Высшее,продавец,,Женский,2021-09-18,,
35000,Среднее профессиональное,электрогазосварщик,,Мужской,2021-04-01,,
30000,Среднее,,,Мужской,2021-04-01,качествен,
30000,,,,Женский,2021-04-01,,
30000,Среднее,,,Женский,2021-10-15,,
30000,Среднее профессиональное,,техник,Мужской,2021-04-01,,
8500,Среднее профессиональное,,,Женский,2021-04-01,,
25000,,,,Женский,2021-04-01,,
50000,Высшее,менеджер,,Мужской,2021-04-01,"Microsoft, свободн, Office, компьютерн",
25000,Высшее,преподавател,инженер,Женский,2021-04-01,,
20000,Высшее,,,Мужской,2021-04-26,"Windows, компьютерн",
20000,Высшее,оператор,педагог,Женский,2021-04-01,"пунктуальн, исполнительн, аккуратн",
45000,Высшее,,инженер,Мужской,2021-09-28,"компьютерн, техническ, английск, свободн, Windows",
15000,,,,Мужской,2021-04-01,,
20000,Среднее профессиональное,,техник,Женский,2021-04-01,"пунктуальн, внимательн, аккуратн",
30000,Среднее профессиональное,,машинист,Мужской,2021-04-01,,
30000,,,,Женский,2021-08-06,"базов, английск",
18000,,оператор,,Мужской,2021-07-04,,
50000,Высшее,,экономист,Мужской,2021-07-15,,
45000,Высшее,,экономист,Мужской,2021-04-01,,быстрый
20000,Среднее,,,Мужской,2021-04-02,,
50000,Высшее,,юрист,Мужской,2021-04-01,оперативн,
35000,Среднее профессиональное,,финансист,Женский,2021-10-04,,
30000,,,,,2021-04-01,,
27000,Высшее,механик,техник,Мужской,2021-04-01,техническ,
80000,Среднее,менеджер,,Мужской,2021-04-01,,
25000,Среднее,,,Женский,2021-10-01,,
30000,,,,Женский,2021-11-14,,
15000,Среднее профессиональное,,,,2021-04-01,"трудолюбив, ответствен",
50000,Высшее,,,Мужской,2021-04-01,,
20000,,,,,2021-04-01,,
25000,,,,Мужской,2021-08-11,,
20000,,,,Мужской,2021-04-01,,
34999,Среднее,продавец,,Мужской,2021-09-26,,
30000,Среднее профессиональное,,фельдшер,Женский,2021-04-01,,
40000,Среднее,повар,,Женский,2021-07-12,,
30000,,,,Мужской,2021-04-01,,
18000,Среднее,продавец,,Женский,2021-05-06,,
12130,,,,Женский,2021-04-01,,
20000,,,,Женский,2021-08-07,,
40000,Высшее,экономист,менеджер,Женский,2021-04-01,,
15000,Среднее профессиональное,,,Мужской,2021-04-10,,
35000,Среднее,комплектовщик,,Мужской,2021-04-01,,
50000,Среднее,электромонтажник,,Мужской,2021-04-01,"ответствен, техник",
30000,Среднее профессиональное,администратор,техник,Мужской,2021-10-26,"творческ, аналитическ, самостоятельн, способн, поставлен",
50000,,,,Мужской,2021-04-01,,
25000,Высшее,,,Женский,2021-04-01,,
40000,Среднее профессиональное,оператор,,Женский,2021-05-14,,
30000,,,,Женский,2021-04-01,,
15000,,,,,2021-04-01,,
40000,Высшее,маркетолог,,Женский,2021-04-01,,
30000,Среднее,,,Мужской,2021-04-01,"исполнительн, аккуратн",
23000,Среднее,повар,,Женский,2021-04-01,,
50000,Среднее,машинист,,Мужской,2021-05-19,,
45000,Высшее,кассир,,Женский,2021-09-25,"пунктуальн, стрессоустойчив, ответствен, коммуникабельн",
50000,Среднее,контролер,,Мужской,2021-10-21,,
40000,,,,Женский,2021-04-01,,
15000,Среднее профессиональное,,юрист,Мужской,2021-05-23,,
20000,Среднее,,,Мужской,2021-11-30,,
30000,Среднее профессиональное,,,Женский,2021-06-02,"ответствен, активн, внимательн",
30000,,,,Женский,2021-04-01,,
35000,Среднее профессиональное,комплектовщик,бухгалтер,Женский,2021-04-01,,
30000,Незаконченное высшее,,,Мужской,2021-04-01,,
25000,Высшее,воспитател,,,2021-04-01,,
20000,,,,Женский,2021-10-17,,
12100,Среднее,,электромонтер,Мужской,2021-10-23,,
30000,Среднее,,,Мужской,2021-04-01,,
30000,,,,Женский,2021-05-16,,
25000,,,,Мужской,2021-04-01,,
20000,,оператор,,Женский,2021-04-01,,
40000,Высшее,,,Женский,2021-08-02,,
15000,Высшее,регистратор,психолог,Женский,2021-04-01,,
30000,Среднее профессиональное,,,Женский,2021-04-01,,
25000,,менеджер,,Женский,2021-04-01,,
25000,Высшее,инспектор,,Женский,2021-06-24,,
15000,,,,Женский,2021-04-01,,
20000,Среднее,,,Женский,2021-11-13,,
60000,Незаконченное высшее,,,Мужской,2021-04-01,,
100000,Высшее,,юрист,Женский,2021-08-26,,
35000,,продавец,,Женский,2021-04-01,"ответствен, коммуникабельн",
25000,Среднее,,,Женский,2021-08-10,,
30000,Высшее,секретар,,Женский,2021-10-05,,
30000,Среднее профессиональное,продавец,лингвист,Женский,2021-04-01,готов,
35000,,,,Женский,2021-08-02,,
60000,Среднее профессиональное,,,Мужской,2021-04-01,добросовестн,
60000,,стропальщик,,Мужской,2021-04-01,,
30000,Высшее,,инженер,Женский,2021-11-15,,
34000,Среднее,сторож,,Мужской,2021-04-01,,
30000,Высшее,воспитател,психолог,Женский,2021-04-01,,
40000,Среднее,кондитер,,Мужской,2021-04-01,,
25000,Высшее,бухгалтер,менеджер,Женский,2021-10-15,,
50000,Высшее,программист,математик,Мужской,2021-04-01,,
20000,Среднее,,,Мужской,2021-05-14,,
15000,,,,Женский,2021-05-23,,
25000,Среднее профессиональное,,техник,Женский,2021-07-19,,
14999,,,,Мужской,2021-10-13,,
21000,,,,Мужской,2021-10-04,,
30000,Среднее,,,Мужской,2021-04-01,,
25000,Высшее,преподавател,учител,Женский,2021-04-01,,
20000,Среднее,,,Женский,2021-07-06,,
50000,Высшее,,,Женский,2021-06-03,опытн,
20000,Высшее,,,Мужской,2021-10-09,,
40000,Среднее профессиональное,продавец,,Женский,2021-08-01,,
50000,,монтажник,,Мужской,2021-04-01,,
40000,Среднее профессиональное,дворник,техник,Мужской,2021-04-22,,
20000,Среднее профессиональное,кассир,техник,Женский,2021-11-22,,
35000,Высшее,бухгалтер,,Женский,2021-06-23,"уверен, оргтехник",
15000,Среднее профессиональное,,юрист,Мужской,2021-04-01,,
1500,Среднее,,,Женский,2021-09-20,,
25000,Среднее,уборщик,,Женский,2021-10-04,,
10000,Высшее,,,Женский,2021-07-15,,
30000,Среднее,,,Женский,2021-04-01,,
15000,,,,Женский,2021-08-17,,
18000,Среднее,продавец,,Женский,2021-04-01,,
50000,,,,Мужской,2021-04-01,,
28,Среднее,,,Мужской,2021-04-01,,
10000,,,,Женский,2021-06-03,,
20000,Среднее профессиональное,,техник,Мужской,2021-04-01,,
15000,Среднее,,,Мужской,2021-04-01,,
40000,Среднее профессиональное,водител,,Мужской,2021-04-01,"Microsoft, водительск, свободн, грамотн, уверен",
15000,Среднее профессиональное,,,Женский,2021-08-25,,
50000,Среднее,водител,,Мужской,2021-08-27,,
20000,Высшее,,,Женский,2021-10-10,,
50000,Среднее,уборщик,,Женский,2021-07-29,,
20000,Высшее,,,Женский,2021-04-01,,
20000,Среднее профессиональное,грузчик,,Мужской,2021-04-01,,
25000,,,,Женский,2021-08-28,,
25000,,,,Женский,2021-06-15,,
30000,Высшее,программист,экономист,Мужской,2021-11-29,,
35000,Среднее профессиональное,водител,,Мужской,2021-06-09,"стрессоустойчив, коммуникабельн",
27000,Среднее,,,,2021-04-01,,
25000,Среднее,,,Мужской,2021-04-01,"стрессоустойчив, коммуникабельн",
30000,,,,Женский,2021-06-01,,
30000,Среднее профессиональное,,,Мужской,2021-04-19,,
30,Среднее,,,Женский,2021-08-16,,
35000,Среднее профессиональное,,,Мужской,2021-10-21,"ответствен, коммуникабельн",
16000,,,,Женский,2021-06-13,,
18000,Среднее,слесар,,Женский,2021-04-01,,
20000,Среднее,уборщик,,Женский,2021-04-01,,
30000,Высшее,преподавател,учител,,2021-04-01,,
20000,Среднее,,,Мужской,2021-09-26,ответствен,
50000,Высшее,ревизор,экономист,Женский,2021-04-01,,
15000,,,,Женский,2021-11-11,,
25000,Высшее,,,,2021-06-27,,
15000,,,,,2021-04-01,,
25000,Среднее профессиональное,,,,2021-04-01,,
35000,Среднее профессиональное,,,Мужской,2021-04-01,,
55000,Среднее,,,Мужской,2021-08-04,,
35000,Среднее профессиональное,,,Мужской,2021-04-01,,
14000,Высшее,,,Женский,2021-04-01,,
17000,Высшее,директор,,Женский,2021-10-08,,
50000,Высшее,инженер,инженер,Мужской,2021-04-01,"Microsoft, AutoCAD, водительск, Adobe, Office, уверен, Photoshop",строительный
25000,Среднее,повар,повар,Женский,2021-11-28,,
25,,,,Женский,2021-08-07,,
35000,Высшее,,,Женский,2021-07-05,,
30,,,,Женский,2021-04-01,,
20000,Среднее профессиональное,,воспитател,Женский,2021-04-06,"ответствен, коммуникабельн",
50000,Высшее,,,Мужской,2021-09-07,,
7000,Среднее,,,,2021-04-01,,
15000,Среднее профессиональное,регистратор,,Женский,2021-04-01,,
25000,,,,,2021-04-01,,
20000,Среднее профессиональное,продавец,,Женский,2021-07-28,,
